TC	SC	Go-On	Kan-On	Eum	PY	MC	MCI	MCF	MCT	OC	Gloss
隘	隘	え	あい	애액	è	ʔɛk	ʔ-	-ɛk	entering	*qˁ‹r›ik {*qˁ‹r›[i]k}	a narrow pass
謫	谪			적적	zhé	drɛk	dr-	-ɛk	entering	*m-tˁrek	blame, punish
覈	覈			핵흘흘	hé	hɛk	h-	-ɛk	entering	*ɡˁrək {*[ɡ]ˁr[ə]k}	kernel
鬲	鬲	きゃく	かく	력격액	gé	kɛk	k-	-ɛk	entering	*C.qˁ‹r›ik	yoke
隔	隔	きゃく	かく	격	gé	kɛk	k-	-ɛk	entering	*kˁrek {*[k]ˁrek}	obstruct, separate (v.)
革	革	きゃく	かく	혁극극	gé	kɛk	k-	-ɛk	entering	*kˁrək	hide, skin
革	革	きゃく	かく	혁극극	gé	kɛk	k-	-ɛk	entering	*kˁrək	change (v.)
脈	脉	みゃく	ばく	맥맥	mài	mɛk	m-	-ɛk	entering	*C.mˁ‹r›ik {*C.mˁ‹r›[i]k}	vein
麥	麦	みゃく	ばく	맥	mài	mɛk	m-	-ɛk	entering	*mə-rˁək (dial. › *mrˁək)	wheat
脉	脉	みゃく	ばく	맥맥	mài	mɛk	m-	-ɛk	entering	*mˁ‹r›ik {*[m]ˁ‹r›[i]k}	vein
𠠦	𠠦				fù	pɛk	p-	-ɛk	entering	*pˁrək	slit, cut open
摘	摘	ちゃく	たく	적	zhāi	trɛk	tr-	-ɛk	entering	*mə-tˁrek	pluck (v.)
謫	谪			적적	zhé	trɛk	tr-	-ɛk	entering	*C.tˁrek	blame (v.)
責	责	しゃく	さく	책채	zé	tsrɛk	tsr-	-ɛk	entering	*s-tˁrek	demand payment
責	责	しゃく	さく	책채	zé	tsrɛk	tsr-	-ɛk	entering	*s-tˁrek	blame
册	册	しゃく	さく	책	cè	tsrhɛk	tsrh-	-ɛk	entering	*tsʰrek {*[tsʰ](ˁ)rek}	tablet, records
策	策	しゃく	さく	책책	cè	tsrhɛk	tsrh-	-ɛk	entering	*tsʰrek {*[tsʰ](ˁ)rek}	tablet, record
栅	栅				cè	tsrhɛk	tsrh-	-ɛk	entering	*tsʰˁrek {*[tsʰ]ˁrek}	hedge
鹹	咸		かん	함함	xián	hɛm	h-	-ɛm	even	*Cə.ɡˁrom {*Cə.[ɡ]ˁr[o]m}	salty
咸	咸	げん	かん	함감함	xián	hɛm	h-	-ɛm	even	*ɡˁrəm {*[ɡ]ˁr[ə]m}	all; everywhere
臽	臽			함함	xiàn	hɛmH	h-	-ɛm	departing	*ɡˁrom-s {*[ɡ]ˁrom(ʔ)-s}	small pit
陷	陷			함	xiàn	hɛmH	h-	-ɛm	departing	*ɢˁromʔ-s {*[ɢ]ˁromʔ-s}	fall into a pit
黬	黬			암암암	àn	kɛm	k-	-ɛm	even	*kˁrəm {*[k]ˁr[ə]m}	black blot
斬	斩	せん	さん	참	zhǎn	tsrɛmX	tsr-	-ɛm	rising	*tsramʔ {*[ts]ramʔ}	cut off
殷	殷	おん	いん	은은은안은안	yān	ʔɛn	ʔ-	-ɛn	even	*ʔˁrər {*ʔˁrə[r]}	dark-red
辦	办	べん	はん	판변판	bàn	bɛnH	b-	-ɛn	departing	*bˁren-s {*[b]ˁren-s}	manage, deal with
釆	釆	べん	はん	변판편폄	biàn	bɛnH	b-	-ɛn	departing	*bˁrer-s {*[b]ˁre[r]-s}	discriminate
棧	栈	ぜん	さん	잔진잔	zhàn	dzrɛnX	dzr-	-ɛn	rising	*dzranʔ {*[dz]r[a][n]ʔ}	shed
轏	轏			잔	zhàn	dzrɛnX	dzr-	-ɛn	rising	*dzranʔ {*[dz]r[a][n]ʔ} (dzrj- › dzr-)	a kind of carriage
間	间	けん	かん	간간	xián	hɛn	h-	-ɛn	even	*N-kˁren {*N-kˁre[n]}	idle
閑	闲	げん	かん	한	xián	hɛn	h-	-ɛn	even	*N-kˁren {*N-kˁre[n]}	idle
閑	闲	げん	かん		xián	hɛn	h-	-ɛn	even	*ɡˁran {*[ɡ]ˁra[n]}	great; large-minded
閑	闲	げん	かん	한	xián	hɛn	h-	-ɛn	even	*ɡˁran {*[ɡ]ˁra[n]}	well-trained
閑	闲	げん	かん	한	xián	hɛn	h-	-ɛn	even	*ɡˁran {*[ɡ]ˁra[n]}	bar, barrier
限	限	げん	かん	한은한	xiàn	hɛnX	h-	-ɛn	rising	*ɡˁrənʔ {*[ɡ]ˁrə[n]ʔ}	obstacle, limit
蕑	蕑			간간	jiān	kɛn	k-	-ɛn	even	*k.rˁan (dial. › *kˁr-)	orchid
蕑	蕑			간간	jiān	kɛn	k-	-ɛn	even	*k.rˁen {*k.rˁe[n]} (dial. *k.rˁ- › kˁr-)	lotus fruit (Ode 145.2)
間	间	けん	かん		jiān	kɛn	k-	-ɛn	even	*kˁren {*kˁre[n]}	interval
𡏳	𡏳				jiān	kɛn	k-	-ɛn	even	*kˁrər {*kˁrə[r]}	distress, difficulty
艱	艰	けん	かん	간	jiān	kɛn	k-	-ɛn	even	*kˁrər {*kˁrə[r]}	difficulty
囏	囏				jiān	kɛn	k-	-ɛn	even	*kˁrər {*kˁrə[r]}	distress, difficulty
柬	柬	けん	かん		jiǎn	kɛnX	k-	-ɛn	rising	*kˁranʔ {*kˁr[a]nʔ}	select, distinguish
揀	拣	けん	かん	간	jiǎn	kɛnX	k-	-ɛn	rising	*kˁranʔ {*kˁr[a]nʔ}	select
簡	简	けん	かん	간간	jiǎn	kɛnX	k-	-ɛn	rising	*kˁrenʔ {*kˁre[n]ʔ}	bamboo slip for writing
簡	简	けん	かん	간간	jiǎn	kɛnX	k-	-ɛn	rising	*kˁrenʔ {*kˁre[n]ʔ}	select, large-minded, etc.
眼	眼	げん	がん		yǎn	ngɛnX	ng-	-ɛn	rising	*ŋˁ‹r›ənʔ {*[ŋ]ˁ‹r›ə[n]ʔ}	eye
產	产	せん	さん	산산	chǎn	srɛnX	sr-	-ɛn	rising	*s-ŋrarʔ	bear (v.), produce
山	山	せん	さん	산산	shān	srɛn	sr-	-ɛn	even	*s-ŋrar	mountain, hill
罌	罂				yīng	ʔɛng	ʔ-	-ɛng	even	*ʔˁreŋ {*[ʔ]ˁreŋ}	jar, vase
罃	罃			앵영앵	yīng	ʔɛng	ʔ-	-ɛng	even	*ʔˁreŋ {*[ʔ]ˁreŋ}	[in proper name]
莖	茎	ぎょう	こう	경형	jīng	hɛng	h-	-ɛng	even	*m-k-lˁ‹r›eŋ	stalk (n.)
牼	牼			경경	kēng	hɛng	h-	-ɛng	even	*m-kʰˁ‹r›eŋ	shank bone
幸	幸	ぎょう	こう	행행	xìng	hɛngX	h-	-ɛng	rising	*ɡˁreŋʔ {*[ɡ]ˁreŋʔ}	fortunate
耕	耕	きょう	こう	경경	gēng	kɛng	k-	-ɛng	even	*kˁ‹r›eŋ	plough (v.)
耿	耿	きょう	こう	경경	gěng	kɛngX	k-	-ɛng	rising	*kˁreŋʔ {*[k]ˁreŋʔ}	brilliant; wide awake
牼	牼			경경	kēng	khɛng	kh-	-ɛng	even	*kʰˁ‹r›eŋ	shank bone
氓	氓	みょう	もう	맹	méng	mɛng	m-	-ɛng	even	*mˁriŋ {*mˁr[i]ŋ}	population, people
黽	黾	みょう	びん	맹민면면	měng	mɛngX	m-	-ɛng	rising	*mˁrəŋʔ	toad
爭	争	しょう	そう	쟁	zhēng	tsrɛng	tsr-	-ɛng	even	*tsˁreŋ {*[ts]ˁreŋ} ~ m-tsˁreŋ (or mə-tsˁreŋ)	strife, quarrel
洽	洽			흡합흡	qià	hɛp	h-	-ɛp	entering	*ɢˁ‹r›op {*[ɢ]ˁ‹r›[o]p}	accord with
狹	狭	ぎょう	こう	협	xiá	hɛp	h-	-ɛp	entering	*N-kˁ‹r›ep	narrow
韐	韐			겹갑	gé	kɛp	k-	-ɛp	entering	*kˁ‹r›əp {*[k]ˁ‹r›[ə]p}	knee-cover
夾	夹			협협겹	jiā	kɛp	k-	-ɛp	entering	*C.kˁ‹r›ep	press between
眨	眨	しょう	そう		zhǎ	tsrɛp	tsr-	-ɛp	entering	*mə-tsˁrap {*mə-tsˁr[a]p} (‹ *mə-S.pˁrap ?)	blink
插	插	しょう	そう		chā	tsrhɛp	tsrh-	-ɛp	entering	*mə-tsʰ‹r›op {*mə-[tsʰ]‹r›op}	insert
臿	臿			삽	chā	tsrhɛp	tsrh-	-ɛp	entering	*tsʰ‹r›op {*[tsʰ](ˁ)‹r›op}	pestle
軋	轧	えち	あつ	알	yà	ʔɛt	ʔ-	-ɛt	entering	*qˁrət	crush
揠	揠			알	yà	ʔɛt	ʔ-	-ɛt	entering	*ʔˁret {*ʔˁr[e]t}	pull up
拔	拔	ばち	はつ	발발패발패	bá	bɛt	b-	-ɛt	entering	*bˁrot {*(Cə.)[b]ˁrot}	uproot
黠	黠			힐할	xiá	hɛt	h-	-ɛt	entering	*ɡˁrit {*[ɡ]ˁri[t]}	shrewd
戛	戛	けち	かつ	알	jiá	kɛt	k-	-ɛt	entering	*kˁrik {*kˁri[k]}	a kind of lance
秸	秸			갈길길	jiē	kɛt	k-	-ɛt	entering	*kˁrit {*kˁri[t]}	stalk of grain
袺	袺			결	jié	kɛt	k-	-ɛt	entering	*kˁ‹r›it {*kˁ‹r›i[t]}	lift up the skirts
八	八	はち	はつ	팔배	bā	pɛt	p-	-ɛt	entering	*pˁret	eight
殺	杀	せい	さい	살쇄살쇄설시	shā	srɛt	sr-	-ɛt	entering	*s‹r›at	kill
札	札	せち	さつ	찰찰찰	zhá	tsrɛt	tsr-	-ɛt	entering	*s-qˁrət	strip (n.), tablet
察	察	せち	さつ	찰	chá	tsrhɛt	tsrh-	-ɛt	entering	*tsʰˁret {*[tsʰ]ˁret}	examine
意	意	い	い	의희억	yì	ʔiH	ʔ-	-i	departing	*ʔək-s {*ʔ(r)ək-s}	thought (n.)
治	治	じ	ち	치치이이	chí	dri	dr-	-i	even	*C.lrə	regulate, arrange
持	持	じ	ち	지	chí	dri	dr-	-i	even	*drə {*[d]rə}	grasp, hold
植	植	じき	しょく	식치치	zhí	driH	dr-	-i	departing	*N-t‹r›ək-s	grow, flourish
植	植	じき	しょく	식치치	zhí	driH	dr-	-i	departing	*m-t‹r›ək-s	to plant, set upright
治	治	じ	ち	치치이이	zhì	driH	dr-	-i	departing	*lrə-s	regulate, arrange
值	值	じ	ち		zhì	driH	dr-	-i	departing	*m-t‹r›ək-s	hold upright
慈	慈	じ	し	자	cí	dzi	dz-	-i	even	*dzə	loving, kind
字	字	じ	し	자	zì	dziH	dz-	-i	departing	*mə-dzə-s {*mə-dzə(ʔ)-s}	breed, love (v.); character
事	事	じ,し	し,し	사	shì	dzriH	dzr-	-i	departing	*m-s-rəʔ-s	serve; service, affair
士	士	じ	し	사	shì	dzriX	dzr-	-i	rising	*m-s-rəʔ	officer; gentleman
仕	仕	じ	し	사사	shì	dzriX	dzr-	-i	rising	*m-s-rəʔ	serve
時	时	じ	し	시	shí	dzyi	dzy-	-i	even	*də {*[d]ə} ~ *[d]əʔ	time
侍	侍	じ	し	시	shì	dzyiH	dzy-	-i	departing	*dəʔ-s {*[d]əʔ-s}	accompany, wait upon
市	市	じ	し	시불	shì	dzyiX	dzy-	-i	rising	*C.dəʔ {*C.[d]əʔ}	market (n.)
恃	恃			시시	shì	dzyiX	dzy-	-i	rising	*dəʔ {*[d]əʔ}	depend on
忌	忌	ご	き	기	jì	giH	g-	-i	departing	*m-kə-s {*m-k(r)ə-s}	warn
期	期	こ	き	기기기	qī	gi	g-	-i	even	*ɡə {*[ɡ](r)ə}	period of time
棋	棋	ぎ	き	기	qí	gi	g-	-i	even	*Cə.ɡə {*Cə.[ɡ](r)ə}	chess, board game
旗	旗	ぎ	き	기	qí	gi	g-	-i	even	*ɡə {*[ɡ](r)ə}	flag
綦	綦			기	qí	gi	g-	-i	even	*ɡə {*[ɡ](r)ə}	gray or bluish-black
綦	綦			기	qí	gi	g-	-i	even	*ɡə {*[ɡ](r)ə}	sandal cord
騏	骐	ご	き	기기	qí	gi	g-	-i	even	*ɡə {*[ɡ](r)ə}	black-mottled grey horse
其	其	ぎ	き	기기	qí	gi	g-	-i	even	*ɡə	modal particle
其	其	ぎ	き	기기	qí	gi	g-	-i	even	*ɡə	(3p possessive)
丌	丌	ぎ	き		qí	gi	g-	-i	even	*ɡə {*[ɡ]ə}	(3p possessive)
綦	綦			기	qí	giH	g-	-i	departing	*ɡə-s {*[ɡ](r)ə()-s}	sandal cord
矣	矣			의	yǐ	hiX	h-	-i	rising	*qəʔ (atonic)	(final particle)
基	基	こ	き	기	jī	ki	k-	-i	even	*kə {*k(r)ə}	base (n.)
姬	姬	き	き	희희이거	jī	ki	k-	-i	even	*kə {*[k](r)ə}	(family name)
箕	箕	き	き	기체	jī	ki	k-	-i	even	*kə {*k(r)ə}	winnowing basket
己	己	こ	き	기	jǐ	kiX	k-	-i	rising	*kəʔ {*k(r)əʔ}	6th heavenly stem
紀	纪	こ	き	기	jǐ	kiX	k-	-i	rising	*kəʔ {*k(r)əʔ}	leading thread
記	记	こ	き	기기	jì	kiH	k-	-i	departing	*C.kə-s {*C.k(r)ə()-s}	record (v.)
記	记	こ	き		jì	kiH	k-	-i	departing	*C.kə-s {*C.k(r)ə()-s}	record (v.)
欺	欺	こ	き	기	qī	khi	kh-	-i	even	*kʰə {*kʰ(r)ə}	to deceive, cheat
起	起	こ	き	기	qǐ	khiX	kh-	-i	rising	*C.qʰəʔ {*C.qʰ(r)əʔ}	rise (v.)
亟	亟	こ	き	극기	qì	khiH	kh-	-i	departing	*kʰək-s {*kʰ(r)ək-s}	often
貍	貍	り	り	리매	lí	li	l-	-i	even	*p.rə	wildcat or small mammal (civet ?)
李	李	り	り	리리리	lǐ	liX	l-	-i	rising	*C.rəʔ	plum
鯉	鲤	り	り	리	lǐ	liX	l-	-i	rising	*mə-rəʔ	carp (n.)
裏	裏	り	り	리	lǐ	liX	l-	-i	rising	*mə.rəʔ {*mə.[r]əʔ}	inside
理	理	り	り	리	lǐ	liX	l-	-i	rising	*mə.rəʔ	reason; principle
理	理	り	り		lǐ	liX	l-	-i	rising	*rəʔ {*([m]ə.)rəʔ}	cut jade; regulate
里	里	り	り	리리	lǐ	liX	l-	-i	rising	*rəʔ {*(mə.)rəʔ}	li (measure of distance), village
吏	吏	り	り	리리	lì	liH	l-	-i	departing	*rəʔ-s {*[r]əʔ-s}	officer
擬	拟	ご	ぎ	의의	nǐ	ngiX	ng-	-i	rising	*ŋəʔ {*[ŋ](r)əʔ} (‹ uvular)	estimate, calculate
疑	疑	ぎ	ぎ	의응을의응	yí	ngi	ng-	-i	even	*ŋə {*[ŋ](r)ə} (‹ uvular)	doubt
而	而	に	じ	이능능	ér	nyi	ny-	-i	even	*nə	and, but
餌	饵	に	じ	이이	ěr	nyiH	ny-	-i	departing	*C.nə-s {*[C.]nə()-s}	bait
耳	耳	に	じ	이잉잉	ěr	nyiX	ny-	-i	rising	*C.nəʔ	ear
耳	耳	に	じ	이잉잉	ěr	nyiX	ny-	-i	rising	*nəʔ	=而已 “that’s all”
司	司	し	し	사	sī	si	s-	-i	even	*s-lə	superintend
絲	丝	し	し	사멱	sī	si	s-	-i	even	*sə {*[s]ə}	silk
思	思	し	し	사사새새	sī	si	s-	-i	even	*sə {*[s]ə}	think
枲	枲			시사	xǐ	siX	s-	-i	rising	*s.ləʔ	hemp
使	使	し	し	사사사시	shǐ	sriH	sr-	-i	departing	*s-rəʔ-s	envoy
史	史	し	し	사	shǐ	sriX	sr-	-i	rising	*s-rəʔ	scribe
使	使	し	し	사사사시	shǐ	sriX	sr-	-i	rising	*s-rəʔ	send; cause
詩	诗	し	し	시	shī	syi	sy-	-i	even	*s.tə	poetry
始	始	し	し	시시	shǐ	syiX	sy-	-i	rising	*l̥əʔ	begin
試	试	し	し	시시	shì	syiH	sy-	-i	departing	*l̥ək-s	test, try
弒	弑	し	し	시시	shì	syiH	sy-	-i	departing	*l̥ək-s	assassinate
置	置	ち	ち	치	zhì	triH	tr-	-i	departing	*trək-s	put, place (v.)
恥	耻	ち	ち	치치	chǐ	trhiX	trh-	-i	rising	*n̥rəʔ {*n̥rə(ŋ)ʔ}	shame; ashamed
祉	祉	ち	ち	지	zhǐ	trhiX	trh-	-i	rising	*tʰrəʔ {*[tʰ]rəʔ}	blessings
滋	滋	し	し	자	zī	tsi	ts-	-i	even	*tsə {*[ts]ə}	abundant
梓	梓	し	し	재자	zǐ	tsiX	ts-	-i	rising	*tsəʔ {*[ts]əʔ}	Catalpa
子	子	し	し	자자	zǐ	tsiX	ts-	-i	rising	*tsəʔ {*[ts]əʔ}	1st earthly branch
子	子	し	し	자자	zǐ	tsiX	ts-	-i	rising	*tsəʔ	child; gentleman, master
緇	缁			치	zī	tsri	tsr-	-i	even	*tsrə {*[ts]rə}	black
廁	厕	し	し	측치측	cè	tsrhiH	tsrh-	-i	departing	*tsʰrək-s {*[tsʰ]rək-s}	latrine
之	之	し	し	지	zhī	tsyi	tsy-	-i	even	*tə	go to
之	之	し	し	지	zhī	tsyi	tsy-	-i	even	*tə	(3p object pronoun; attributive particle)
茝	茝			채치채치	zhǐ	tsyiX	tsy-	-i	rising	*t-qəʔ	Iris
止	止	し	し	지	zhǐ	tsyiX	tsy-	-i	rising	*təʔ	foot; stop
趾	趾	し	し	지	zhǐ	tsyiX	tsy-	-i	rising	*təʔ	foot, heel, toe
志	志	し	し	지치	zhì	tsyiH	tsy-	-i	departing	*tə-s	goal, intention, aspiration
誌	志	し	し	지	zhì	tsyiH	tsy-	-i	departing	*tək-s	record (n.?)
識	识	しき	しょく	식지치치	zhì	tsyiH	tsy-	-i	departing	*tək-s	remember, commemorate
齒	齿	し	し	치	chǐ	tsyhiX	tsyh-	-i	rising	*t-kʰəʔ {*[t-kʰ]ə(ŋ)ʔ}	front teeth
熾	炽	し	し	치	chì	tsyhiH	tsyh-	-i	departing	*tʰək-s	blaze
熹	熹	き	き	희희희	xī	xi	x-	-i	even	*qʰə {*qʰ(r)ə}	shine
熙	熙	き	き	희이이	xī	xi	x-	-i	even	*qʰə {*qʰ(r)ə}	splendor
喜	喜	こ	き	희	xǐ	xiX	x-	-i	rising	*qʰəʔ {*qʰ(r)əʔ}	joy; rejoice
台	台	だい,たい,い	たい,たい,い	태이대태태대	yí	yi	y-	-i	even	*lə	I, me
怡	怡	い	い	이이	yí	yi	y-	-i	even	*lə	cheerful
詒	诒	い	い	이태이태	yí	yi	y-	-i	even	*lə	give to
貽	贻			이	yí	yi	y-	-i	even	*lə	to present, give
𦣞	𦣞				yí	yi	y-	-i	even	*ɢə {*[ɢ](r)ə}	chin
㠯	㠯			이	yǐ	yiX	y-	-i	rising	*ləʔ	take, use
以	以	い	い	이	yǐ	yiX	y-	-i	rising	*ləʔ	take, use
已	已	い	い	이이	yǐ	yiX	y-	-i	rising	*ɢəʔ	cease; already
異	异	い	い	이	yì	yiH	y-	-i	departing	*ɢək-s {*[ɢ]ək-s}	different
异	异			이이리	yì	yiH	y-	-i	departing	*ɢək-s {*ɢ(r)ək-s}	different
祠	祠	じ	し	사	cí	zi	z-	-i	even	*sə.lə	sacrifice
辭	辞	じ	し	사	cí	zi	z-	-i	even	*sə.lə	words
詞	词	じ	し	사사	cí	zi	z-	-i	even	*sə.lə	utterance
寺	寺	じ	し	사시시	sì	ziH	z-	-i	departing	*s-dəʔ-s {*s-[d]əʔ-s}	hall
食	食	い	い	식사이식사	sì	ziH	z-	-i	departing	*s-m-lək-s	food; feed
飤	飤				sì	ziH	z-	-i	departing	*s-m-lək-s	to feed
飼	饲	じ	し	사사	sì	ziH	z-	-i	departing	*s-m-lək-s	feed
嗣	嗣	じ	し	사	sì	ziH	z-	-i	departing	*sə.lə-s	succeed, inherit
巳	巳	じ	し	사	sì	ziX	z-	-i	rising	*s-ɢəʔ {*s-[ɢ]əʔ}	6th earthly branch
祀	祀			사	sì	ziX	z-	-i	rising	*s-ɢəʔ {*s-[ɢ]əʔ}	sacrifice; year
耜	耜			사	sì	ziX	z-	-i	rising	*sə-ləʔ	ploughshare; to plough
似	似	じ	し	사사	sì	ziX	z-	-i	rising	*sə.ləʔ	resemble
鈶	鈶			시이사사	yí	ziX	z-	-i	rising	*sə.ləʔ	handle of plough or sickle
俟	俟	じ	し	사기기	sì	zriX	zr-	-i	rising	*s-ɢrəʔ {*s-[ɢ]rəʔ}	wait
俟	俟	じ	し	사기기	sì	zriX	zr-	-i	rising	*s.ɢrəʔ {*s.[ɢ]rəʔ}	move on
㦤	㦤			의	yì	ʔijH	ʔ-	-ij	departing	*q‹r›it-s {*q‹r›i[t]-s}	excellent
㦤	㦤			의	yì	ʔijH	ʔ-	-ij	departing	*ʔrit-s {*[ʔ]ri[t]-s}	repress
備	备	び	ひ	비	bèi	bijH	b-	-ij	departing	*brək-s {*[b]rək-s}	complete (adj.)
地	地	じ	ち	지	dì	dijH	d-	-ij	departing	*lˁej-s {*[l]ˁej-s}	earth, ground
坻	坻			지지저저	chí	drij	dr-	-ij	even	*drij {*[d]rij}	islet
蚳	蚳			지	chí	drij	dr-	-ij	even	*drij {*[d]rij}	ant egg
遲	迟	じ	ち	지지치지	chí	drij	dr-	-ij	even	*lrəj {*lrə[j]}	slow
稺	稺			치	zhì	drijH	dr-	-ij	departing	*lrəj-s	late-sown grain
稚	稚	じ	ち	치	zhì	drijH	dr-	-ij	departing	*lrəj-s	young
自	自	じ	し	자	zì	dzijH	dz-	-ij	departing	*N-tsit-s {*N-tsi[t]-s}	self (adv.)
自	自	じ	し	자	zì	dzijH	dz-	-ij	departing	*S.bit-s {*S.[b]i[t]-s}	to follow; from
嗜	嗜	じ	し	기	shì	dzyijH	dzy-	-ij	departing	*ɡij-s {*[ɡ]ij-s}	enjoy
視	视	じ	し	시	shì	dzyijH	dzy-	-ij	departing	*ɡijʔ-s	look, see
視	视	じ	し	시	shì	dzyijX	dzy-	-ij	rising	*ɡijʔ	look, see
暨	暨				jì	gijH	g-	-ij	departing	*ɡrəp-s {*[ɡ]rə[p]-s}	reach to
耆	耆	ぎ	き	기지기시기지	qí	gij	g-	-ij	even	*ɡrij {*[ɡ]rij}	old
鰭	鳍	ぎ	き	기	qí	gij	g-	-ij	even	*ɡrij {*[ɡ]rij}	dorsal fin of a fish
飢	饥	き	き	기	jī	kij	k-	-ij	even	*Cə.k‹r›əj {*Cə.k‹r›ə[j]}	hungry
肌	肌	き	き	기기기	jī	kij	k-	-ij	even	*krəj {*krə[j]}	flesh
机	机	き	き	궤기예	jī	kijX	k-	-ij	rising	*krəjʔ	small table, stool
几	几	き	き	궤기범	jǐ	kijX	k-	-ij	rising	*krəjʔ	stool
冀	冀	き	き	기	jì	kijH	k-	-ij	departing	*krək-s {*[k]rə[k]-s} (dial. › *[k]rət-s ?)	hope
器	器	き	き	기	qì	khijH	kh-	-ij	departing	*kʰrət-s {*[kʰ]r[ə][t]-s}	vessel; instrument
棃	棃			리	lí	lij	l-	-ij	even	*C.rəj {*C.r[ə][j]}	pear tree, pear
犁	犁			려리류리려	lí	lij	l-	-ij	even	*rij {*[r][i]j}	plough (n., v.)
利	利	り	り		lì	lijH	l-	-ij	departing	*C.rit-s {*C.ri[t]-s}	sharp; profit
履	履	り	り	리리	lǚ	lijX	l-	-ij	rising	*rijʔ {*[r]ijʔ}	tread on; sandal
眉	眉	み	び	미	méi	mij	m-	-ij	even	*mrər	eyebrow
美	美	み	び	미	měi	mijX	m-	-ij	rising	*mrəjʔ {*[m]rəjʔ}	beautiful
媚	媚	み	び	미미	mèi	mijH	m-	-ij	departing	*mrəjʔ-s	love; flatter
尼	尼	に	じ	니니닐	ní	nrij	nr-	-ij	even	*nrəj {*nr[əj]}	near, close
怩	怩	に	じ	니닐	ní	nrij	nr-	-ij	even	*nrəj {*nr[əj]}	ashamed
柅	柅			니	nǐ	nrijH	nr-	-ij	departing	*n‹r›ərʔ-s {*n‹r›[ə]rʔ-s}	a stopper for carriages
柅	柅			니	nǐ	nrijX	nr-	-ij	rising	*n‹r›ərʔ {*n‹r›[ə]rʔ}	a stopper for carriages
膩	腻			니니	nì	nrijH	nr-	-ij	departing	*nrij-s {*nri[j]-s}	oily
貳	贰	に	じ	이이	èr	nyijH	ny-	-ij	departing	*nij-s {*ni[j]-s}	two
二	二	に	じ	이	èr	nyijH	ny-	-ij	departing	*nij-s {*ni[j]-s}	two
悲	悲	ひ	ひ	비	bēi	pij	p-	-ij	even	*prəj	sad
鄙	鄙	ひ	ひ	비비비	bǐ	pijX	p-	-ij	rising	*prəʔ	border town
毖	毖			비	bì	pijH	p-	-ij	departing	*prit-s {*pri[t]-s}	cautious
轡	辔	ひ	ひ	비	pèi	pijH	p-	-ij	departing	*prit-s {*pr[i][t]-s}	reins
丕	丕	ひ	ひ	비	pī	phij	ph-	-ij	even	*pʰrə	great
私	私	し	し	사	sī	sij	s-	-ij	even	*səj {*[s]əj}	private
死	死	し	し	사	sǐ	sijX	s-	-ij	rising	*sijʔ	die (v.)
肆	肆			사실이해적	sì	sijH	s-	-ij	departing	*s-ləp-s	unrestrained
四	四	し	し	사	sì	sijH	s-	-ij	departing	*s.lij-s {*s.li[j]-s}	four
駟	驷			사	sì	sijH	s-	-ij	departing	*s.lij-s {*s.li[j]-s}	team of four horses
師	师	し	し	사	shī	srij	sr-	-ij	even	*srij	army
師	师	し	し	사	shī	srij	sr-	-ij	even	*srij	master
屍	尸	し	し	시	shī	syij	sy-	-ij	even	*l̥əJ {*l̥ə[j]}	corpse
尸	尸	し	し	시	shī	syij	sy-	-ij	even	*l̥əj {*l̥ə[j]}	corpse
蓍	蓍	し	し	시시	shī	syij	sy-	-ij	even	*s-kij	Achillea (?)
矢	矢	し	し	시	shǐ	syijX	sy-	-ij	rising	*l̥ijʔ {*l̥i[j]ʔ}	arrow
屎	屎	し	し	시히히	shǐ	syijX	sy-	-ij	rising	*qʰijʔ	excrement
疐	疐			치체치	zhì	trijH	tr-	-ij	departing	*t-lrit-s {*[t-l]ri[t]-s}	slip (v.)
質	质	しち	しつ	질질지지	zhì	trijH	tr-	-ij	departing	*t‹r›ip-s {*[t]‹r›ip-s}	hostage; gift
致	致	ち	ち	치치치	zhì	trijH	tr-	-ij	departing	*trit-s {*tri[t]-s}	(cause to arrive): transmit
辴	辴				zhěn	trhij	trh-	-ij	even	*tʰrər	laugh
咨	咨	し	し	자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	consult; plan (v.)
粢	粢			자제	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	Setaria italica
資	资	し	し	자자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	property, means of living
諮	谘			자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	consult, plan
齍	齍			자제	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	sacrificial grain
恣	恣	し	し	자자자	zì	tsijH	ts-	-ij	departing	*tsij-s {*tsi[j]-s}	unrestrained, license
次	次	し	し	차차차	cì	tshijH	tsh-	-ij	departing	*s-n̥ij-s {*[s-n̥]i[j]-s}	lodge (v.)
次	次	し	し		cì	tshijH	tsh-	-ij	departing	*s-n̥ij-s {*[s-n̥]i[j]-s}	put in order; second
脂	脂	し	し	지지	zhī	tsyij	tsy-	-ij	even	*kij	fat, grease
旨	旨	し	し	지	zhǐ	tsyijX	tsy-	-ij	rising	*kijʔ	fine-tasting
指	指	し	し	지지	zhǐ	tsyijX	tsy-	-ij	rising	*mə.kijʔ	finger; point
砥	砥	し	し	지	zhǐ	tsyijX	tsy-	-ij	rising	*tijʔ	whetstone
摯	挚			지지	zhì	tsyijH	tsy-	-ij	departing	*tip-s {*[t]ip-s}	seize
