TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
耳	耳	귀 이, 팔대손 잉, 팔대째 손자 잉	ěr	nyiX	ny-	-i	rising	*C.nəʔ	ear
耳	耳	귀 이, 팔대손 잉, 팔대째 손자 잉	ěr	nyiX	ny-	-i	rising	*nəʔ	=而已 “that’s all”
司	司	맡을 사	sī	si	s-	-i	even	*s-lə	superintend
絲	丝	실 사, 가는 실 멱	sī	si	s-	-i	even	*sə {*[s]ə}	silk
思	思	생각할 사, 생각 사, 수염많을 새, 수염이 많을 새	sī	si	s-	-i	even	*sə {*[s]ə}	think
枲	枲	모시풀 시, 삼 사	xǐ	siX	s-	-i	rising	*s.ləʔ	hemp
使	使	부릴 사, 사신 사, 하여금 사, 보낼 시	shǐ	sriH	sr-	-i	departing	*s-rəʔ-s	envoy
史	史	사기 사	shǐ	sriX	sr-	-i	rising	*s-rəʔ	scribe
使	使	부릴 사, 사신 사, 하여금 사, 보낼 시	shǐ	sriX	sr-	-i	rising	*s-rəʔ	send; cause
詩	诗	시 시	shī	syi	sy-	-i	even	*s.tə	poetry
始	始	처음 시, 비로소 시	shǐ	syiX	sy-	-i	rising	*l̥əʔ	begin
試	试	시험할 시, 시험 시	shì	syiH	sy-	-i	departing	*l̥ək-s	test, try
弒	弑	죽일 시, 윗사람 죽일 시	shì	syiH	sy-	-i	departing	*l̥ək-s	assassinate
置	置	둘 치	zhì	triH	tr-	-i	departing	*trək-s	put, place (v.)
恥	耻	부끄러워할 치, 부끄러울 치	chǐ	trhiX	trh-	-i	rising	*n̥rəʔ {*n̥rə(ŋ)ʔ}	shame; ashamed
祉	祉	복 지	zhǐ	trhiX	trh-	-i	rising	*tʰrəʔ {*[tʰ]rəʔ}	blessings
滋	滋	불을 자	zī	tsi	ts-	-i	even	*tsə {*[ts]ə}	abundant
梓	梓	가래나무 재, 가래나무 자	zǐ	tsiX	ts-	-i	rising	*tsəʔ {*[ts]əʔ}	Catalpa
子	子	아들 자, 사랑할 자	zǐ	tsiX	ts-	-i	rising	*tsəʔ {*[ts]əʔ}	1st earthly branch
子	子	아들 자, 사랑할 자	zǐ	tsiX	ts-	-i	rising	*tsəʔ	child; gentleman, master
緇	缁	검을 치	zī	tsri	tsr-	-i	even	*tsrə {*[ts]rə}	black
廁	厕	뒷간 측, 뒷간 치, 곁 측	cè	tsrhiH	tsrh-	-i	departing	*tsʰrək-s {*[tsʰ]rək-s}	latrine
之	之	갈 지	zhī	tsyi	tsy-	-i	even	*tə	go to
之	之	갈 지	zhī	tsyi	tsy-	-i	even	*tə	(3p object pronoun; attributive particle)
茝	茝	구리때 채, 구리때 치, 어수리 채, 궁궁이싹 치	zhǐ	tsyiX	tsy-	-i	rising	*t-qəʔ	Iris
止	止	그칠 지	zhǐ	tsyiX	tsy-	-i	rising	*təʔ	foot; stop
趾	趾	발 지	zhǐ	tsyiX	tsy-	-i	rising	*təʔ	foot, heel, toe
志	志	뜻 지, 기치 치	zhì	tsyiH	tsy-	-i	departing	*tə-s	goal, intention, aspiration
誌	志	기록할 지	zhì	tsyiH	tsy-	-i	departing	*tək-s	record (n.?)
識	识	알 식, 적을 지, 기 치, 깃발 치	zhì	tsyiH	tsy-	-i	departing	*tək-s	remember, commemorate
齒	齿	이 치	chǐ	tsyhiX	tsyh-	-i	rising	*t-kʰəʔ {*[t-kʰ]ə(ŋ)ʔ}	front teeth
熾	炽	성할 치	chì	tsyhiH	tsyh-	-i	departing	*tʰək-s	blaze
熹	熹	성할 희, 빛날 희, 빛날 희	xī	xi	x-	-i	even	*qʰə {*qʰ(r)ə}	shine
熙	熙	빛날 희, 성 이, 사람 이름 이	xī	xi	x-	-i	even	*qʰə {*qʰ(r)ə}	splendor
喜	喜	기쁠 희	xǐ	xiX	x-	-i	rising	*qʰəʔ {*qʰ(r)əʔ}	joy; rejoice
台	台	별 이름 태, 나 이, 거친살갗 대, 별 태, 태풍 태, 대 대	yí	yi	y-	-i	even	*lə	I, me
怡	怡	기뻐할 이, 기쁠 이	yí	yi	y-	-i	even	*lə	cheerful
詒	诒	줄 이, 게으를 태, 게으를 이, 속일 태	yí	yi	y-	-i	even	*lə	give to
貽	贻	끼칠 이	yí	yi	y-	-i	even	*lə	to present, give
𦣞	𦣞		yí	yi	y-	-i	even	*ɢə {*[ɢ](r)ə}	chin
㠯	㠯	써 이	yǐ	yiX	y-	-i	rising	*ləʔ	take, use
以	以	써 이	yǐ	yiX	y-	-i	rising	*ləʔ	take, use
已	已	그칠 이, 이미 이	yǐ	yiX	y-	-i	rising	*ɢəʔ	cease; already
異	异	다를 이	yì	yiH	y-	-i	departing	*ɢək-s {*[ɢ]ək-s}	different
异	异	그만둘 이, 다를 이, 다를 리	yì	yiH	y-	-i	departing	*ɢək-s {*ɢ(r)ək-s}	different
祠	祠	사당 사	cí	zi	z-	-i	even	*sə.lə	sacrifice
辭	辞	말씀 사	cí	zi	z-	-i	even	*sə.lə	words
詞	词	말 사, 글 사	cí	zi	z-	-i	even	*sə.lə	utterance
寺	寺	절 사, 내시 시, 관청 시	sì	ziH	z-	-i	departing	*s-dəʔ-s {*s-[d]əʔ-s}	hall
食	食	밥 식, 밥 사, 사람 이름 이, 먹을 식, 먹이 사	sì	ziH	z-	-i	departing	*s-m-lək-s	food; feed
飤	飤		sì	ziH	z-	-i	departing	*s-m-lək-s	to feed
飼	饲	먹일 사, 기를 사	sì	ziH	z-	-i	departing	*s-m-lək-s	feed
嗣	嗣	이을 사	sì	ziH	z-	-i	departing	*sə.lə-s	succeed, inherit
巳	巳	뱀 사	sì	ziX	z-	-i	rising	*s-ɢəʔ {*s-[ɢ]əʔ}	6th earthly branch
祀	祀	제사 사	sì	ziX	z-	-i	rising	*s-ɢəʔ {*s-[ɢ]əʔ}	sacrifice; year
耜	耜	보습 사	sì	ziX	z-	-i	rising	*sə-ləʔ	ploughshare; to plough
似	似	같을 사, 닮을 사	sì	ziX	z-	-i	rising	*sə.ləʔ	resemble
鈶	鈶	창 시, 쟁기날 이, 자루 사, 창 사	yí	ziX	z-	-i	rising	*sə.ləʔ	handle of plough or sickle
俟	俟	기다릴 사, 성 기, 성씨 기	sì	zriX	zr-	-i	rising	*s-ɢrəʔ {*s-[ɢ]rəʔ}	wait
俟	俟	기다릴 사, 성 기, 성씨 기	sì	zriX	zr-	-i	rising	*s.ɢrəʔ {*s.[ɢ]rəʔ}	move on
㦤	㦤	아름다울 의	yì	ʔijH	ʔ-	-ij	departing	*q‹r›it-s {*q‹r›i[t]-s}	excellent
㦤	㦤	아름다울 의	yì	ʔijH	ʔ-	-ij	departing	*ʔrit-s {*[ʔ]ri[t]-s}	repress
備	备	갖출 비	bèi	bijH	b-	-ij	departing	*brək-s {*[b]rək-s}	complete (adj.)
地	地	땅 지	dì	dijH	d-	-ij	departing	*lˁej-s {*[l]ˁej-s}	earth, ground
坻	坻	모래톱 지, 머물 지, 무너질 저, 비탈 저	chí	drij	dr-	-ij	even	*drij {*[d]rij}	islet
蚳	蚳	개미 알 지	chí	drij	dr-	-ij	even	*drij {*[d]rij}	ant egg
遲	迟	늦을 지, 기다릴 지, 기다릴 치, 더딜 지	chí	drij	dr-	-ij	even	*lrəj {*lrə[j]}	slow
稺	稺	어릴 치	zhì	drijH	dr-	-ij	departing	*lrəj-s	late-sown grain
稚	稚	어릴 치	zhì	drijH	dr-	-ij	departing	*lrəj-s	young
自	自	스스로 자	zì	dzijH	dz-	-ij	departing	*N-tsit-s {*N-tsi[t]-s}	self (adv.)
自	自	스스로 자	zì	dzijH	dz-	-ij	departing	*S.bit-s {*S.[b]i[t]-s}	to follow; from
嗜	嗜	즐길 기	shì	dzyijH	dzy-	-ij	departing	*ɡij-s {*[ɡ]ij-s}	enjoy
視	视	볼 시	shì	dzyijH	dzy-	-ij	departing	*ɡijʔ-s	look, see
視	视	볼 시	shì	dzyijX	dzy-	-ij	rising	*ɡijʔ	look, see
暨	暨		jì	gijH	g-	-ij	departing	*ɡrəp-s {*[ɡ]rə[p]-s}	reach to
耆	耆	늙은이 기, 이를 지, 즐길 기, 즐길 시, 늙을 기, 이룰 지	qí	gij	g-	-ij	even	*ɡrij {*[ɡ]rij}	old
鰭	鳍	지느러미 기	qí	gij	g-	-ij	even	*ɡrij {*[ɡ]rij}	dorsal fin of a fish
飢	饥	주릴 기	jī	kij	k-	-ij	even	*Cə.k‹r›əj {*Cə.k‹r›ə[j]}	hungry
肌	肌	살 기, 몸 기, 살가죽 기	jī	kij	k-	-ij	even	*krəj {*krə[j]}	flesh
机	机	책상 궤, 틀 기, 모탕 예	jī	kijX	k-	-ij	rising	*krəjʔ	small table, stool
几	几	안석 궤, 몇 기, 무릇 범	jǐ	kijX	k-	-ij	rising	*krəjʔ	stool
冀	冀	바랄 기	jì	kijH	k-	-ij	departing	*krək-s {*[k]rə[k]-s} (dial. › *[k]rət-s ?)	hope
器	器	그릇 기	qì	khijH	kh-	-ij	departing	*kʰrət-s {*[kʰ]r[ə][t]-s}	vessel; instrument
棃	棃	배나무 리	lí	lij	l-	-ij	even	*C.rəj {*C.r[ə][j]}	pear tree, pear
犁	犁	쟁기 려, 얼룩소 리, 떨 류, 밭 갈 리, 밭 갈 려	lí	lij	l-	-ij	even	*rij {*[r][i]j}	plough (n., v.)
利	利		lì	lijH	l-	-ij	departing	*C.rit-s {*C.ri[t]-s}	sharp; profit
履	履	밟을 리, 신 리	lǚ	lijX	l-	-ij	rising	*rijʔ {*[r]ijʔ}	tread on; sandal
眉	眉	눈썹 미	méi	mij	m-	-ij	even	*mrər	eyebrow
美	美	아름다울 미	měi	mijX	m-	-ij	rising	*mrəjʔ {*[m]rəjʔ}	beautiful
媚	媚	아첨할 미, 예쁠 미	mèi	mijH	m-	-ij	departing	*mrəjʔ-s	love; flatter
尼	尼	신중 니, 여승 니, 말릴 닐	ní	nrij	nr-	-ij	even	*nrəj {*nr[əj]}	near, close
怩	怩	부끄러워할 니, 부끄러워할 닐	ní	nrij	nr-	-ij	even	*nrəj {*nr[əj]}	ashamed
柅	柅	무성할 니	nǐ	nrijH	nr-	-ij	departing	*n‹r›ərʔ-s {*n‹r›[ə]rʔ-s}	a stopper for carriages
柅	柅	무성할 니	nǐ	nrijX	nr-	-ij	rising	*n‹r›ərʔ {*n‹r›[ə]rʔ}	a stopper for carriages
膩	腻	기름 니, 기름질 니	nì	nrijH	nr-	-ij	departing	*nrij-s {*nri[j]-s}	oily
貳	贰	두 이, 갖은두 이	èr	nyijH	ny-	-ij	departing	*nij-s {*ni[j]-s}	two
二	二	두 이	èr	nyijH	ny-	-ij	departing	*nij-s {*ni[j]-s}	two
悲	悲	슬플 비	bēi	pij	p-	-ij	even	*prəj	sad
鄙	鄙	시골 비, 더러울 비, 마을 비	bǐ	pijX	p-	-ij	rising	*prəʔ	border town
毖	毖	삼갈 비	bì	pijH	p-	-ij	departing	*prit-s {*pri[t]-s}	cautious
轡	辔	고삐 비	pèi	pijH	p-	-ij	departing	*prit-s {*pr[i][t]-s}	reins
丕	丕	클 비	pī	phij	ph-	-ij	even	*pʰrə	great
私	私	사사 사	sī	sij	s-	-ij	even	*səj {*[s]əj}	private
死	死	죽을 사	sǐ	sijX	s-	-ij	rising	*sijʔ	die (v.)
肆	肆	방자할 사, 방자할 실, 나머지 이, 악장 이름 해, 제물 적	sì	sijH	s-	-ij	departing	*s-ləp-s	unrestrained
四	四	넉 사	sì	sijH	s-	-ij	departing	*s.lij-s {*s.li[j]-s}	four
駟	驷	사마 사	sì	sijH	s-	-ij	departing	*s.lij-s {*s.li[j]-s}	team of four horses
師	师	스승 사	shī	srij	sr-	-ij	even	*srij	army
師	师	스승 사	shī	srij	sr-	-ij	even	*srij	master
屍	尸	주검 시	shī	syij	sy-	-ij	even	*l̥əJ {*l̥ə[j]}	corpse
尸	尸	주검 시	shī	syij	sy-	-ij	even	*l̥əj {*l̥ə[j]}	corpse
蓍	蓍	시초 시, 톱풀 시	shī	syij	sy-	-ij	even	*s-kij	Achillea (?)
矢	矢	화살 시	shǐ	syijX	sy-	-ij	rising	*l̥ijʔ {*l̥i[j]ʔ}	arrow
屎	屎	똥 시, 앓을 히, 끙끙거릴 히	shǐ	syijX	sy-	-ij	rising	*qʰijʔ	excrement
疐	疐	엎드러질 치, 꼭지 체, 발끝 채일 치	zhì	trijH	tr-	-ij	departing	*t-lrit-s {*[t-l]ri[t]-s}	slip (v.)
質	质	바탕 질, 볼모 질, 볼모 지, 폐백 지	zhì	trijH	tr-	-ij	departing	*t‹r›ip-s {*[t]‹r›ip-s}	hostage; gift
致	致	이룰 치, 이를 치, 빽빽할 치	zhì	trijH	tr-	-ij	departing	*trit-s {*tri[t]-s}	(cause to arrive): transmit
辴	辴		zhěn	trhij	trh-	-ij	even	*tʰrər	laugh
咨	咨	물을 자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	consult; plan (v.)
粢	粢	기장 자, 술 제	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	Setaria italica
資	资	재물 자, 방종할 자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	property, means of living
諮	谘	물을 자	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	consult, plan
齍	齍	제기 자, 조리할 제	zī	tsij	ts-	-ij	even	*tsij {*[ts]ij}	sacrificial grain
恣	恣	방자할 자, 마음대로 자, 방자할 자	zì	tsijH	ts-	-ij	departing	*tsij-s {*tsi[j]-s}	unrestrained, license
次	次	버금 차, 나아가지 못할 차, 머뭇거릴 차	cì	tshijH	tsh-	-ij	departing	*s-n̥ij-s {*[s-n̥]i[j]-s}	lodge (v.)
次	次		cì	tshijH	tsh-	-ij	departing	*s-n̥ij-s {*[s-n̥]i[j]-s}	put in order; second
脂	脂	기름 지, 손가락 지	zhī	tsyij	tsy-	-ij	even	*kij	fat, grease
旨	旨	뜻 지	zhǐ	tsyijX	tsy-	-ij	rising	*kijʔ	fine-tasting
指	指	손가락 지, 가리킬 지	zhǐ	tsyijX	tsy-	-ij	rising	*mə.kijʔ	finger; point
砥	砥	숫돌 지	zhǐ	tsyijX	tsy-	-ij	rising	*tijʔ	whetstone
摯	挚	지극할 지, 잡을 지	zhì	tsyijH	tsy-	-ij	departing	*tip-s {*[t]ip-s}	seize
鷙	鸷	맹금 지, 순종 아니할 치, 의심할 질	zhì	tsyijH	tsy-	-ij	departing	*tip-s {*[t]ip-s}	bird of prey
至	至	이를 지	zhì	tsyijH	tsy-	-ij	departing	*tit-s {*ti[t]-s}	arrive
鴟	鸱	소리개 치, 올빼미 치	chī	tsyhij	tsyh-	-ij	even	*tʰij	owl (鴟鵂 tsyhij.xjuw)
塈	塈		xì	xijH	x-	-ij	departing	*qʰrət-s {*qʰrə[t]-s}	rest (v.)
彝	彝	떳떳할 이	yí	yij	y-	-ij	even	*ləj {*[l][ə]j}	ritual vase
夷	夷	오랑캐 이	yí	yij	y-	-ij	even	*ləj	level, peaceful
寅	寅	셋째 지지 인	yín	yij	y-	-ij	even	*ɢər {*[ɢ](r)ər}	3rd earthly branch
兕	兕	외뿔소 시, 외뿔소 사	sì	zijX	z-	-ij	rising	*s.ɢijʔ {*[s.ɢ]ijʔ}	rhinoceros (or water buffalo?)
示	示	보일 시, 지신 기, 땅 귀신 기, 둘 치	shì	zyijH	zy-	-ij	departing	*s-ɡijʔ-s	show (v.)
抑	抑	누를 억	yì	ʔik	ʔ-	-ik	entering	*qik	rub, repress
億	亿	억 억	yì	ʔik	ʔ-	-ik	entering	*ʔək {*ʔ(r)ək}	100000
憶	忆	생각할 억	yì	ʔik	ʔ-	-ik	entering	*ʔək {*ʔ(r)ək}	remember
臆	臆	가슴 억, 단술 의, 마실 것 의	yì	ʔik	ʔ-	-ik	entering	*ʔək {*ʔ(r)ək}	bosom
直	直	곧을 직, 값 치	zhí	drik	dr-	-ik	entering	*N-t‹r›ək	straight
殖	殖	번성할 식, 불릴 식	zhí	dzyik	dzy-	-ik	entering	*N-tək	grow, flourish (v.)
埴	埴	찰흙 식, 찰흙 치	zhí	dzyik	dzy-	-ik	entering	*dək {*[d]ək}	clay
殖	殖	번성할 식, 불릴 식	zhí	dzyik	dzy-	-ik	entering	*m-tək	plant (v.)
植	植	심을 식, 꽂을 치, 둘 치	zhí	dzyik	dzy-	-ik	entering	*m-tək	to plant; plants
極	极	다할 극, 잦을 극, 극진할 극	jí	gik	g-	-ik	entering	*N-kək {*N-k(r)ək}	extreme
棘	棘	가시나무 극, 가시 극	jí	kik	k-	-ik	entering	*krək	thorns
力	力	힘 력	lì	lik	l-	-ik	entering	*k.rək	strength
匿	匿	숨을 닉, 사특할 특, 숨길 닉, 사악할 특	nì	nrik	nr-	-ik	entering	*nrək	conceal
偪	偪	다가올 핍, 핍박할 핍, 나라 이름 복	bī	pik	p-	-ik	entering	*prək	to press, urge
逼	逼	다그칠 핍, 다그칠 벽, 핍박할 핍	bī	pik	p-	-ik	entering	*prək	urge, press
幅	幅	폭 폭, 폭 복, 행전 핍, 행전 벽, 두건 복	fú	pik	p-	-ik	entering	*p‹r›ək	strap around the leg
副	副	버금 부, 쪼갤 복, 쪼갤 핍	fù	phik	ph-	-ik	entering	*pʰrək	split, cut open, cleave
熄	熄	꺼질 식, 불 꺼질 식	xī	sik	s-	-ik	entering	*sək	extinguish
息	息	숨쉴 식	xī	sik	s-	-ik	entering	*sək	breathe
嗇	啬	아낄 색	sè	srik	sr-	-ik	entering	*srək	reap
色	色	빛 색	sè	srik	sr-	-ik	entering	*srək	color; countenance
穡	穑	거둘 색	sè	srik	sr-	-ik	entering	*srək	reap
識	识	알 식, 적을 지, 기 치, 깃발 치	shí	syik	sy-	-ik	entering	*s-tək	know
式	式	법 식, 악할 특	shì	syik	sy-	-ik	entering	*l̥ək	pattern
式	式	법 식, 악할 특	shì	syik	sy-	-ik	entering	*l̥ək	to wipe
飾	饰	꾸밀 식, 경계할 칙	shì	syik	sy-	-ik	entering	*l̥ək	adorn
拭	拭	닦을 식, 씻을 식	shì	syik	sy-	-ik	entering	*l̥ək	to wipe
稙	稙	일찍 심은 벼 직, 올벼 직	zhí	trik	tr-	-ik	entering	*trək	earliest-sown grain
陟	陟	오를 척, 얻을 득	zhì	trik	tr-	-ik	entering	*trək	ascend
勅	勅	조서 칙, 칙서 칙, 신칙할 칙	chì	trhik	trh-	-ik	entering	*r̥ək {*(m-)r̥ək}	correct (v.); to arrange
即	即		jí	tsik	ts-	-ik	entering	*tsik {*[ts]ik}	go to
即	即		jí	tsik	ts-	-ik	entering	*tsik {*[ts]ik}	thereupon
稷	稷	기장 직, 피 직	jì	tsik	ts-	-ik	entering	*tsək {*[ts]ək}	millet (Setaria italica)
側	侧	곁 측	cè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	slanting, oblique; side
夨	夨		zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	incline the head
𠨮	𠨮		zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	slanting, oblique
仄	仄	기울 측	zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	slanting, oblique
𣅔	𣅔		zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	sun slanting to west
昃	昃	기울 측	zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	sun slanting to west
𣅛	𣅛		zè	tsrik	tsr-	-ik	entering	*tsrək {*[ts]rək}	sun slanting to west
測	测	잴 측, 헤아릴 측	cè	tsrhik	tsrh-	-ik	entering	*tsʰrək {*[tsʰ]rək}	fathom (v.)
戠	戠		shì	tsyik	tsy-	-ik	entering	*tək	adhere (?)
織	织	짤 직, 무늬비단 치, 기치 치	zhī	tsyik	tsy-	-ik	entering	*tək	weave (v.)
樴	樴	말뚝 직	zhí	tsyik	tsy-	-ik	entering	*tək	pole
職	职	벼슬 직, 직분 직	zhí	tsyik	tsy-	-ik	entering	*tək	duties of office
奭	奭	성할 석, 붉은 모양 혁, 클 석, 쌍백 석, 붉을 혁	shì	xik	x-	-ik	entering	*qʰək {*[qʰ](r)ək}	red
翊	翊	도울 익	yì	yik	y-	-ik	entering	*N.rək {*[N].rəp} (dial. › *-k)	next day
翌	翌	이튿날 익, 다음날 익	yì	yik	y-	-ik	entering	*N.rəp {*[N].rəp}	next day
弋	弋	주살 익	yì	yik	y-	-ik	entering	*lək	shoot arrow with string attached
翼	翼	날개 익	yì	yik	y-	-ik	entering	*ɢrəp (dial. › -k)	wing
翌	翌	이튿날 익, 다음날 익	yì	yik	y-	-ik	entering	*ɢrəp (dial. › -k)	wing
食	食	밥 식, 밥 사, 사람 이름 이, 먹을 식, 먹이 사	shí	zyik	zy-	-ik	entering	*mə-lək	eat
蝕	蚀	좀먹을 식	shí	zyik	zy-	-ik	entering	*mə-lək	(eat:) eclipse
陰	阴	응달 음, 말 않을 암, 가릴 음, 그늘 음, 침묵할 암	yīn	ʔim	ʔ-	-im	even	*qum {*q(r)[u]m}	dark
音	音	소리 음, 그늘 음	yīn	ʔim	ʔ-	-im	even	*qəm {*[q](r)[ə]m}	sound, tone
飲	饮		yǐn	ʔimX	ʔ-	-im	rising	*qəmʔ {*q(r)[ə]mʔ}	drink (v.)
蔭	荫	덕택 음, 가릴 음, 그늘 음	yìn	ʔimH	ʔ-	-im	departing	*qəm-s {*q(r)[ə]m-s}	shade
飲	饮		yìn	ʔimH	ʔ-	-im	departing	*qəmʔ-s {*q(r)[ə]mʔ-s}	give to drink
沈	沈	잠길 침, 성 심, 성씨 심	chén	drim	dr-	-im	even	*lrəm {*[l]r[ə]m} ~ *m-lr[ə]m	sink (v.)
沈	沈	잠길 침, 성 심, 성씨 심	chén	drim	dr-	-im	even	*lrəm {*[l]r[ə]m}	sacrifice in which gifts are sunk in water
沈	沈	잠길 침, 성 심, 성씨 심	chén	drimH	dr-	-im	departing	*lrəm-s {*[l]r[ə]m-s}	sacrifice in which gifts are sunk in water
酖	酖	술에 빠질 탐, 독조 이름 짐, 즐길 탐, 짐새 짐	zhèn	drimH	dr-	-im	departing	*lrəm-s {*[l]r[ə]m-s}	to poison
鴆	鸩	짐새 짐, 새 이름 담	zhèn	drimH	dr-	-im	departing	*lrəm-s {*[l]r[ə]m-s}	poison (v.)
朕	朕	나 짐	zhèn	drimX	dr-	-im	rising	*lrəmʔ	I, we, our
鬵	鬵	용가마 심	qín	dzim	dz-	-im	even	*sə-ləm {*sə-l[ə]m} (irreg. dz- for z-?)	large boiler
煁	煁	화덕 심	chén	dzyim	dzy-	-im	even	*dəm {*[d][ə]m}	small furnace
忱	忱	정성 침, 정성 심	chén	dzyim	dzy-	-im	even	*t.ɢəm {*[t.ɢ][ə]m}	sincere
諶	谌	참 심	chén	dzyim	dzy-	-im	even	*t.ɢəm {*[t.ɢ][ə]m}	reliable, to trust
甚	甚	심할 심, 무엇 심	shèn	dzyimH	dzy-	-im	departing	*t.ɢəmʔ-s {*[t.ɢ][ə]mʔ-s}	excessive
甚	甚	심할 심, 무엇 심	shèn	dzyimX	dzy-	-im	rising	*t.ɢəmʔ {*[t.ɢ][ə]mʔ}	excessive, very
禽	禽	날짐승 금, 새 금	qín	gim	g-	-im	even	*C.ɢəm {*[C.ɢ](r)[ə]m}	bird; animal
禽	禽		qín	gim	g-	-im	even	*C.ɢəm {*[C.ɢ](r)[ə]m}	catch, capture
琴	琴	거문고 금	qín	gim	g-	-im	even	*C.ɢəm {*[C.ɢ](r)[ə]m}	lute
䘳	䘳	옷깃 금	jīn	kim	k-	-im	even	*k‹r›əm {*k‹r›[ə]m}	collar or lapel
今	今		jīn	kim	k-	-im	even	*krəm {*[k]r[ə]m}	now
金	金	쇠 금, 입다물 금, 성 김, 성씨 김	jīn	kim	k-	-im	even	*kəm {*k(r)[ə]m}	metal, bronze
錦	锦	비단 금	jǐn	kimX	k-	-im	rising	*C.kəmʔ {*C.k(r)[ə]mʔ}	brocade
禁	禁	금할 금, 견딜 금	jìn	kimH	k-	-im	departing	*krəm-s {*kr[ə]m-s}	prohibit
衾	衾	이불 금	qīn	khim	kh-	-im	even	*kʰəm {*[k]ʰ(r)[ə]m}	coverlet
禀	禀	녹 품, 곳집 름, 여쭐 품	bǐng	limX	l-	-im	rising	*p.rimʔ	rations
林	林	수풀 림	lín	lim	l-	-im	even	*k.rəm {*k.r[ə]m}	forest
淋	淋	물 뿌릴 림, 임질 림, 장마 림	lín	lim	l-	-im	even	*rəm {*[r][ə]m}	pour
臨	临	임할 림, 곡할 림	lín	lim	l-	-im	even	*rəm {*(p.)r[ə]m}	look down at
稟	禀		lǐn	limX	l-	-im	rising	*p.rimʔ	rations
廩	廪	곳집 름, 넘칠 람	lǐn	limX	l-	-im	rising	*p.rimʔ	granary
廩	廪	곳집 름, 넘칠 람	lǐn	limX	l-	-im	rising	*p.rimʔ	fearful
凜	凛	찰 름, 찰 늠	lǐn	limX	l-	-im	rising	*rəmʔ {*[r][ə]mʔ}	cold
𠪚	𠪚		kǎn	ngim	ng-	-im	even	*N-qʰˁəm {*N-qʰˁ[ə]m}	precipitous
吟	吟	읊을 음, 입다물 금, 입 다물 금	yín	ngim	ng-	-im	even	*m-qʰəm {*m-qʰ(r)[ə]m}	chant, intone
紝	纴	짤 임	rèn	nrim	nr-	-im	even	*n‹r›əm {*n‹r›[ə]m}	weave
壬	壬	북방 임	rén	nyim	ny-	-im	even	*nəm {*n[ə]m}	9th heavenly stem
荏	荏	들깨 임	rěn	nyimX	ny-	-im	rising	*nəmʔ {*n[ə]mʔ} (‹ *num?)	a kind of big beans
紝	纴	짤 임	rèn	nyim	ny-	-im	even	*nəm {*n[ə]m}	weave
任	任	맡길 임, 맞을 임	rèn	nyimH	ny-	-im	departing	*nəm-s {*n[ə]m-s}	burden; charge (n.)
衽	衽		rèn	nyimH	ny-	-im	departing	*nəmʔ-s {*n[ə]mʔ-s}	skirts of robe, flaps; lapel
衽	衽	옷깃 임, 옷섶 임	rèn	nyimX	ny-	-im	rising	*nəmʔ {*n[ə]mʔ}	skirts of robe, flaps; lapel
飪	饪	익힐 임	rèn	nyimX	ny-	-im	rising	*nəmʔ {*n[ə]mʔ}	thoroughly cooked
恁	恁	생각할 임, 당신 님, 너 님	rèn	nyimX	ny-	-im	rising	*nəmʔ {*n[ə]mʔ}	think
稟	禀	녹 품, 곳집 름, 여쭐 품	bǐng	pimX	p-	-im	rising	*p.rimʔ (dial. › *primʔ)	receive
稟	禀	녹 품, 곳집 름, 여쭐 품	bǐng	pimX	p-	-im	rising	*p.rimʔ (dial. › *primʔ)	rations
禀	禀	녹 품, 곳집 름, 여쭐 품	bǐng	pimX	p-	-im	rising	*p.rimʔ (dial. › *primʔ)	rations; receive
心	心	마음 심	xīn	sim	s-	-im	even	*səm	heart
參	参	참여할 참, 별이름 삼, 빽빽할 삼, 석 삼	shēn	srim	sr-	-im	even	*srum {*sr[u]m}	(name of constellation)
深	深		shēn	syim	sy-	-im	even	*l̥əm {*[l̥][ə]m}	deep
深	深	깊을 심	shēn	syimH	sy-	-im	departing	*l̥əm-s {*[l̥][ə]m-s}	depth
嬸	婶		shěn	syimX	sy-	-im	rising	{*mʔ}	FaYBrWi
沈	沈	잠길 침, 성 심, 성씨 심	shěn	syimX	sy-	-im	rising	*l̥əmʔ {*[l̥][ə]mʔ}	(name of a state)
諗	谂	간할 심, 고할 심	shěn	syimX	sy-	-im	rising	*n̥imʔ	remonstrate
審	审	살필 심, 돌 반, 빙빙 돌 반	shěn	syimX	sy-	-im	rising	*s.tʰəmʔ {*s.tʰ[ə]mʔ}	examine, discriminate
椹	椹	모탕 침, 오디 심	zhēn	trim	tr-	-im	even	*trəm {*tr[ə]m}	chopping-block
